start time,end time,FPS,frames,Time(S),max time(ms),waiting time(S),wait times,A,B,C,D,score,TX,app,Surface
254165.039260,254234.875574,39.5,54,1.367,233.497,68.469,1,2,2,1,31,67.38,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254234.875574,254238.927751,43.8,57,1.301,150.102,2.751,2,3,0,0,10,76.6,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254238.927751,254239.945169,52.1,53,1.017,49.993,0,0,0,0,1,8,92.04,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254239.945169,254240.945841,48,48,1.001,100.078,0,0,1,1,0,6,87.63,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254123.374302,254241.946553,36.5,39,1.067,183.53,117.505,2,2,3,0,6,66.35,0,com.huawei.android.launcher,"com.huawei.intelligent.Workspace#0"
254241.946553,254242.947227,52,52,1.001,116.778,0,0,1,0,0,3,88.93,0,com.huawei.android.launcher,"com.huawei.intelligent.Workspace#0"
254240.945841,254243.981845,18.4,45,2.452,466.858,0.584,1,8,1,0,7,40.75,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254242.947227,254245.049672,48.2,37,0.768,100.165,1.335,1,1,1,0,6,87.71,0,com.huawei.android.launcher,"com.huawei.intelligent.Workspace#0"
254243.981845,254244.866182,33.9,30,0.884,300.316,0,0,1,1,0,7,59.99,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254245.049672,254245.867187,57.5,47,0.818,33.359,0,0,0,0,0,3,97.5,0,com.huawei.android.launcher,"com.huawei.intelligent.Workspace#0"
254244.866182,254247.051719,52.2,61,1.168,67.061,1.018,1,0,2,0,10,91.97,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254247.051719,254248.136121,46.1,50,1.084,116.891,0,0,1,2,0,13,82.73,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254245.867187,254249.136535,42.7,37,0.867,83.437,2.402,1,0,4,0,12,81.94,0,com.huawei.android.launcher,"com.huawei.intelligent.Workspace#0"
254249.136535,254249.920257,56.1,44,0.784,49.869,0,0,0,0,1,3,96.03,0,com.huawei.android.launcher,"com.huawei.intelligent.Workspace#0"
254248.136121,254250.137176,23,23,1.001,333.586,1,1,2,3,1,6,47.08,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254250.137176,254251.137786,42,42,1.001,116.823,0,0,2,1,0,6,78.48,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254251.137786,254252.205170,44,47,1.067,133.417,0,0,2,1,0,6,78.42,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254249.920257,254253.206595,49.9,45,0.901,66.709,2.385,1,0,1,0,9,89.74,0,com.huawei.android.launcher,"com.huawei.intelligent.Workspace#0"
254253.206595,254253.606930,59.9,24,0.4,16.72,0,0,0,0,0,2,99.9,0,com.huawei.android.launcher,"com.huawei.intelligent.Workspace#0"
254135.426197,254254.557944,40.6,21,0.517,116.709,118.615,12,1,1,0,5,76.93,0,com.huawei.android.launcher,"StatusBar#0"
254252.205170,254255.508569,21,27,1.285,483.748,2.019,2,3,3,0,8,43.25,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254255.508569,254256.592780,54.4,59,1.084,116.775,0,0,1,0,0,7,91.36,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254233.858522,254259.361364,21.7,30,1.384,416.967,24.119,5,2,2,0,19,45.36,1,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254256.592780,254259.144678,25.3,38,1.501,416.836,1.051,1,4,0,0,17,49.05,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254259.578127,254260.412430,33.6,28,0.834,116.757,0,0,3,1,0,18,69.41,0,com.qiyi.video,"com.qiyi.video/com.qiyi.video.WelcomeActivity#0"
254259.377987,254260.645981,52.4,21,0.4,50.061,0.868,1,0,1,0,12,92.07,1,com.qiyi.video,"com.qiyi.video/com.qiyi.video.WelcomeActivity#0"
254260.412430,254261.646421,18.6,23,1.234,483.595,0,0,2,1,0,5,41.56,0,com.qiyi.video,"com.qiyi.video/com.qiyi.video.WelcomeActivity#0"
254260.645981,254261.562977,26.2,24,0.917,467.107,0,0,1,1,0,9,49.77,1,com.qiyi.video,"com.qiyi.video/com.qiyi.video.WelcomeActivity#0"
254261.646421,254262.731002,23.1,25,1.085,266.929,0,0,4,2,0,14,48.43,0,com.qiyi.video,"com.qiyi.video/com.qiyi.video.WelcomeActivity#0"
254262.731002,254263.731766,41,41,1.001,250.275,0,0,1,1,0,15,68.58,0,com.qiyi.video,"com.qiyi.video/com.qiyi.video.WelcomeActivity#0"
